YEAR,QUARTER,D_DISQ1,D_DISQ2,D_DISQ3,D_DISQ4,M_DISQ1,M_DISQ2,M_DISQ3,M_DISQ4
1986,1,0.15542538260812402,0.24371311203037815,0.34924143680894215,0.4258689072457586,0.1555359345821619,0.25181379664202197,0.41210678727340705,0.510373661912653
1986,2,0.25800350710763725,0.3899587660793596,0.5211747414458732,0.5488895181053944,0.30026774903453246,0.3057388165610557,0.3200107602949596,0.41718913054488893
1986,3,0.22417974098844937,0.42730667217298196,0.49064878082650715,0.5441800435341456,0.19514778973731067,0.24371471750647952,0.2375217905175182,0.28098984839038466
1986,4,0.2150754508188796,0.33333955501378587,0.36631379867037844,0.3885112143064695,0.0959244185939982,0.11583351641542083,0.1614352927463398,0.2598869097065239
1987,1,0.21935258205434185,0.16798546683996976,0.266404293213939,0.2982901082499325,0.16200269297197414,0.19215824354178931,0.22484823036614496,0.17076725939453785
1987,2,0.18408177735398884,0.2206374252349406,0.23848003684091254,0.22930563583151414,0.12473498140764007,0.1918040144537874,0.2629830540335315,0.3543957163169274
1987,3,0.19007941870201314,0.24847942114447047,0.38853634375366025,0.3381095981428131,0.11914178815003588,0.17031473901088676,0.25780386798206373,0.3226838994702552
1987,4,0.2168861957352319,0.3138632651047967,0.4412728025659172,0.46612189172392043,0.4202281683886031,0.4085781004878119,0.5077752087357327,0.6482433371985437
1988,1,0.20789922380962741,0.2821521767412062,0.2807758266126232,0.26476313530637324,0.131864838821028,0.22611367910570135,0.332737440207817,0.4363822771504258
1988,2,0.15918514483746504,0.23839554661771442,0.5782959287530337,0.6990273135391347,0.20474035705761756,0.25776205142896536,0.36877659435864685,0.5556732265018778
1988,3,0.2377155627610539,0.3902484935988798,0.5056932731967935,0.5715373509011673,0.23702714160985466,0.2611567118625218,0.2771795112723547,0.42161102350095064
1988,4,0.15468775135932125,0.22497006649165627,0.3725399915304411,0.4293509676026832,0.21047219523535618,0.2418271852139572,0.3126778784776757,0.42646846213667444
1989,1,0.17959617945746653,0.3859160058754926,0.5043510457451691,0.6058610721448765,0.21919476305514443,0.3158665682983229,0.5283144518867321,0.820759229492744
1989,2,0.19490358607298164,0.5062645278250604,0.45457202229821825,0.39616626478606326,0.22905321298381953,0.24082317867813557,0.29377972089224813,0.46769627886828913
